timestamp;x (in G's);y (in G's);z (in G's)
1600601981.082077;-0.027847;-0.134750;-0.901398
1600601981.101516;-0.024826;-0.144714;-0.914871
1600601981.120925;-0.034821;-0.156281;-0.942230
1600601981.140365;-0.050598;-0.147400;-1.000946
1600601981.159775;-0.080887;-0.114517;-1.076355
1600601981.179214;-0.081146;-0.100143;-1.130264
1600601981.198623;-0.052887;-0.099792;-1.160248
1600601981.218063;-0.046295;-0.068283;-1.167816
1600601981.237473;-0.049683;-0.044586;-1.194214
1600601981.256912;-0.033768;-0.041061;-1.226532
1600601981.276321;-0.012375;-0.026093;-1.240372
1600601981.295760;-0.010590;-0.016769;-1.198502
1600601981.315171;-0.024582;-0.027542;-1.130447
1600601981.334610;-0.044800;-0.045319;-1.057907
1600601981.354019;-0.047119;-0.052536;-1.015579
1600601981.373458;-0.032486;-0.065414;-1.011826
1600601981.392899;-0.021973;-0.040863;-1.023834
1600601981.412308;-0.014984;-0.044357;-1.029922
1600601981.431747;-0.000519;-0.053925;-1.017319
1600601981.451156;0.003418;-0.067337;-0.978790
1600601981.470597;0.013336;-0.076981;-0.931885
1600601981.490005;0.004578;-0.095520;-0.899765
1600601981.509445;0.000366;-0.115219;-0.892059
1600601981.528854;-0.012085;-0.109848;-0.893356
1600601981.548293;-0.036453;-0.085770;-0.904602
1600601981.567734;-0.013916;-0.086884;-0.920715
1600601981.587142;0.016632;-0.079025;-0.925797
1600601981.606582;0.039551;-0.092850;-0.906723
1600601981.625991;0.039963;-0.119812;-0.872894
1600601981.645432;0.030365;-0.141937;-0.839050
1600601981.664840;0.025909;-0.158844;-0.816406
1600601981.684280;0.008133;-0.173035;-0.802795
1600601981.703690;-0.000198;-0.194000;-0.808990
1600601981.723130;-0.005051;-0.214066;-0.827164
1600601981.742568;-0.009216;-0.212875;-0.839844
1600601981.761978;-0.001297;-0.220566;-0.853195
1600601981.781417;-0.001144;-0.227371;-0.875732
1600601981.800827;-0.008026;-0.232376;-0.903839
1600601981.820266;-0.011658;-0.234879;-0.927841
1600601981.839675;-0.020142;-0.217407;-0.948059
1600601981.859115;-0.017883;-0.199554;-0.982941
1600601981.878556;-0.004517;-0.147461;-1.030334
1600601981.897964;0.019211;-0.088577;-1.073410
1600601981.917373;0.067352;-0.076721;-1.092087
1600601981.936813;0.080933;-0.082230;-1.083466
