timestamp;x (in radians/s);y (in radians/s);z (in radians/s)
1603186398.255486;-0.086024;-0.059142;0.043483
1603186398.265465;-0.086227;-0.027495;0.014700
1603186398.275476;-0.088649;0.013527;-0.010792
1603186398.285455;-0.091730;0.042880;-0.021927
1603186398.295465;-0.086574;0.062857;-0.020073
1603186398.305475;-0.076930;0.076095;-0.007816
1603186398.315454;-0.056250;0.078972;0.005407
1603186398.325464;-0.026770;0.073311;0.007609
1603186398.335443;0.001467;0.063803;-0.006568
1603186398.345453;0.029047;0.045608;-0.029433
1603186398.355463;0.043604;0.030073;-0.047700
1603186398.365442;0.055651;0.012868;-0.053491
1603186398.375452;0.047684;-0.006653;-0.043735
1603186398.385431;0.031850;-0.028767;-0.025450
1603186398.395441;0.009860;-0.044151;-0.009769
1603186398.405450;-0.020404;-0.067206;-0.008069
1603186398.415429;-0.047620;-0.087804;-0.022866
1603186398.425439;-0.071996;-0.109903;-0.050796
1603186398.435418;-0.079329;-0.110886;-0.081043
1603186398.445428;-0.064375;-0.075846;-0.102552
1603186398.455437;-0.019893;-0.003047;-0.103599
1603186398.465417;0.061116;0.070557;-0.075010
1603186398.475426;0.165879;0.146183;-0.010031
1603186398.485406;0.276342;0.213621;0.083096
1603186398.495415;0.364605;0.216378;0.173849
1603186398.505425;0.403628;0.121193;0.222197
1603186398.515404;0.388908;-0.012514;0.223233
1603186398.525414;0.318695;-0.113957;0.181968
1603186398.535393;0.210314;-0.167490;0.130160
1603186398.545403;0.075947;-0.188230;0.100926
1603186398.555413;-0.064695;-0.174298;0.094737
1603186398.565392;-0.189987;-0.106501;0.093888
1603186398.575402;-0.276371;0.019444;0.086842
1603186398.585382;-0.291228;0.147533;0.089220
1603186398.595392;-0.236616;0.246709;0.113959
1603186398.605402;-0.128648;0.287556;0.149281
1603186398.615381;-0.014503;0.245513;0.176152
1603186398.625391;0.086290;0.161695;0.187650
1603186398.635370;0.150649;0.066408;0.173719
1603186398.645380;0.171907;-0.031611;0.146157
1603186398.655390;0.145955;-0.084255;0.117500
1603186398.665369;0.079145;-0.085926;0.106955
1603186398.675379;0.006343;-0.041487;0.118863
1603186398.685358;-0.054852;0.014851;0.158460
1603186398.695368;-0.089522;0.043562;0.209359
1603186398.705376;-0.094304;0.024797;0.251038
1603186398.715356;-0.078398;-0.036214;0.260128
1603186398.725365;-0.056186;-0.094040;0.227598
1603186398.735345;-0.044113;-0.138871;0.163846
1603186398.745354;-0.059055;-0.162242;0.083274
1603186398.755364;-0.100881;-0.154748;0.005992
1603186398.765343;-0.164959;-0.133309;-0.053604
1603186398.775353;-0.222519;-0.099603;-0.086085
1603186398.785332;-0.250665;-0.060009;-0.089788
1603186398.795342;-0.241734;-0.031488;-0.069136
