timestamp;x (in microteslas);y (in microteslas);z (in microteslas)
1603186439.287369;47.082153;193.936371;-435.947357
1603186439.297379;47.988144;194.392944;-435.903595
1603186439.307358;47.295624;194.716599;-436.153687
1603186439.317338;47.797806;194.824127;-436.182312
1603186439.327317;49.122055;195.420486;-436.769531
1603186439.337296;48.357040;195.486588;-436.536438
1603186439.347306;49.782394;196.110214;-436.317200
1603186439.357285;49.079163;196.578232;-436.671082
1603186439.367264;49.828201;196.883896;-436.642517
1603186439.377244;51.385300;197.300659;-437.375305
1603186439.387223;50.440964;197.597931;-436.980469
1603186439.397202;52.079605;198.195740;-436.963837
1603186439.407212;51.379868;198.321548;-437.234497
1603186439.417191;51.946091;198.893326;-437.445435
1603186439.427170;53.156174;199.281158;-437.689484
1603186439.437180;53.606522;199.229919;-437.571808
1603186439.447190;54.131149;199.739136;-437.698608
1603186439.457169;54.365189;200.061722;-437.677734
1603186439.467179;55.192596;200.409500;-437.711548
1603186439.477158;56.280701;201.112076;-438.109497
1603186439.487137;56.098206;201.030624;-437.652344
1603186439.497117;57.428467;201.508026;-437.916260
1603186439.507126;57.149963;201.763397;-438.110535
1603186439.517106;57.461029;202.136978;-438.103699
1603186439.527085;58.042877;202.502472;-438.348450
1603186439.537064;58.640274;202.562180;-438.220215
1603186439.547043;59.363327;202.824005;-438.533691
1603186439.557053;59.540695;203.062790;-438.221069
1603186439.567032;60.140717;203.401779;-438.455261
1603186439.577012;61.085022;203.857742;-438.508484
1603186439.586991;60.763382;203.669495;-438.341248
1603186439.596970;62.197601;204.434998;-438.404358
1603186439.606949;61.597275;204.397095;-438.456665
1603186439.616929;62.324051;204.764084;-438.657928
1603186439.626908;63.093979;204.536819;-438.784058
1603186439.636887;62.948792;204.912537;-438.296204
1603186439.646866;64.396347;205.151169;-438.713867
1603186439.656846;63.725739;205.404144;-438.618774
1603186439.666825;63.947876;205.387375;-438.749207
1603186439.676804;65.564056;205.648666;-438.764465
1603186439.686783;65.410675;205.921143;-438.513885
1603186439.696793;66.363998;206.187881;-438.470642
1603186439.706772;65.934235;205.927292;-438.428345
1603186439.716752;66.429047;206.079285;-438.522247
1603186439.726731;67.632233;206.471420;-438.781219
1603186439.736741;66.979584;206.467514;-438.484222
1603186439.746720;68.061447;206.600998;-438.746460
1603186439.756699;67.869125;206.539291;-438.572327
1603186439.766709;68.197998;206.725723;-438.970276
1603186439.776688;69.215317;206.496033;-438.995331
1603186439.786667;69.589005;206.626923;-438.739594
1603186439.796677;70.294632;206.830307;-439.397400
1603186439.806656;69.845947;206.883881;-439.128326
1603186439.816666;70.162155;206.912994;-439.140991
1603186439.826645;70.976791;207.225479;-439.119934
1603186439.836625;70.377991;207.027634;-439.192627
1603186439.846604;71.560593;207.096695;-439.361511
1603186439.856583;70.890717;206.937836;-439.111938
1603186439.866554;71.575500;207.285843;-439.137573
1603186439.876533;72.524551;207.301498;-438.858459
1603186439.886512;72.285919;207.021088;-439.281189
1603186439.896522;72.690872;207.112122;-439.461761
1603186439.906501;72.612656;206.967789;-439.457764
1603186439.916481;72.874313;207.184662;-439.586945
1603186439.926460;73.899353;207.007126;-439.638672
1603186439.936439;73.372696;206.727341;-439.451843
1603186439.946449;74.266479;207.104980;-439.784271
1603186439.956428;73.786377;206.906464;-440.031677
1603186439.966407;74.312866;206.883453;-439.870789
1603186439.976387;74.985413;207.271957;-439.289062
1603186439.986397;74.130081;206.984955;-439.797302
1603186439.996376;75.610657;207.184448;-440.070312
1603186440.006355;74.824203;206.715683;-439.986298
1603186440.016334;75.482635;206.867676;-440.227112
1603186440.026344;76.113235;207.049118;-440.123352
1603186440.036323;75.739960;206.814835;-440.147949
1603186440.046303;76.507645;206.824768;-440.506744
1603186440.056282;75.813797;206.550201;-440.267731
1603186440.066292;75.878693;206.863480;-440.204651
1603186440.076271;76.374969;206.821304;-440.439087
1603186440.086250;75.943329;206.925293;-440.089478
1603186440.096229;76.767181;206.906265;-440.234070
1603186440.106209;76.018158;206.717804;-440.050385
1603186440.116218;76.481003;206.878204;-440.168182
1603186440.126198;77.359787;207.102753;-440.315613
1603186440.136177;76.584503;206.764023;-440.273224
1603186440.146156;77.609009;206.865448;-440.426208
1603186440.156135;77.477127;206.751541;-440.246948
1603186440.166115;77.211334;206.938995;-439.963074
1603186440.176124;77.604294;207.145706;-440.030396
1603186440.186104;77.825562;207.151093;-439.980072
1603186440.196083;78.222107;207.438904;-440.035889
1603186440.206062;77.223984;207.213684;-439.721375
1603186440.216072;77.705841;207.202652;-439.993164
1603186440.226051;77.392212;206.940887;-439.998901
1603186440.236030;77.660934;207.119415;-439.832336
1603186440.246010;78.088882;207.129486;-440.062012
1603186440.256019;78.207840;207.146118;-439.927032
1603186440.265999;77.973099;207.160889;-440.086884
1603186440.275978;78.117523;207.349564;-440.028198
1603186440.285957;78.604294;207.286499;-440.038757
1603186440.295936;79.032501;207.314041;-440.341431
1603186440.305946;78.321228;206.937866;-440.277344
1603186440.315925;78.540894;206.873535;-440.015076
1603186440.325905;79.243240;206.863342;-440.869293
1603186440.335884;78.728271;206.911682;-440.244751
1603186440.345894;79.853790;206.935425;-440.724731
1603186440.355873;78.777161;206.589996;-440.734436
1603186440.365852;78.862350;206.472916;-440.561676
1603186440.375831;78.795807;206.522354;-440.855286
1603186440.385811;79.126419;206.424393;-440.589691
1603186440.395790;79.644302;206.629883;-441.010468
1603186440.405800;79.133347;206.260849;-441.045227
1603186440.415779;79.243835;206.253433;-440.799011
1603186440.425758;79.097305;206.418060;-441.087097
1603186440.435737;79.019119;206.234634;-440.821594
1603186440.445717;79.745316;206.302155;-441.322693
1603186440.455696;79.196838;206.324539;-440.975586
1603186440.465706;79.330322;206.188065;-441.009369
1603186440.475685;79.550461;206.329346;-440.538574
1603186440.485664;79.249207;206.209213;-440.929138
1603186440.495643;79.970413;206.413177;-441.027008
1603186440.505623;79.085831;206.222488;-440.909058
1603186440.515602;79.154694;206.313293;-440.828033
1603186440.525612;79.271866;206.314301;-440.907806
1603186440.535591;79.203415;206.348038;-441.075439
1603186440.545570;80.010925;206.227219;-441.033325
1603186440.555549;79.899994;206.195587;-441.074585
1603186440.565559;79.792831;206.176132;-441.086975
1603186440.575538;79.757721;206.289276;-440.975891
1603186440.585518;79.687729;206.292068;-440.899841
1603186440.595497;80.498993;206.328979;-441.302246
1603186440.605507;79.609955;206.222839;-440.821472
1603186440.615486;79.672882;206.393051;-440.934509
1603186440.625465;79.960281;206.401276;-440.771118
1603186440.635444;79.543762;206.652252;-440.534790
1603186440.645424;79.684006;206.701691;-440.639313
1603186440.655403;79.548050;206.993851;-440.375641
1603186440.665413;79.521881;206.943497;-440.653625
1603186440.675392;79.915939;206.692078;-440.530487
1603186440.685371;79.397858;206.700592;-440.590149
1603186440.695350;80.473114;206.816116;-440.836334
1603186440.705330;79.768219;206.911423;-440.729218
1603186440.715309;79.715897;206.985336;-440.595215
1603186440.725319;79.494446;206.924713;-440.336670
1603186440.735298;79.334152;206.907959;-440.422760
1603186440.745277;80.452179;207.169724;-440.499084
1603186440.755256;79.189362;207.202911;-440.216309
1603186440.765205;79.999039;206.988998;-440.476318
1603186440.775184;79.366638;207.169968;-439.924133
1603186440.785133;79.903687;207.123108;-440.187958
1603186440.795112;80.405792;207.311600;-440.537231
1603186440.805092;79.453049;206.935349;-440.253113
1603186440.815101;80.100494;206.997864;-440.392731
1603186440.825081;79.625717;207.219376;-440.188110
1603186440.835060;79.565689;206.923019;-440.410889
1603186440.845070;80.062927;207.127151;-440.453064
1603186440.855079;79.399841;207.048615;-440.143372
1603186440.865059;79.320892;207.255905;-440.283081
1603186440.875038;79.843521;207.105545;-440.377563
1603186440.885009;79.710190;206.799835;-440.363831
1603186440.894988;80.566284;206.863068;-440.751648
1603186440.904967;79.667862;206.758728;-440.511108
1603186440.914946;79.585297;206.447296;-441.005798
1603186440.924926;80.082382;206.298431;-441.029114
1603186440.934935;80.291687;206.388275;-441.018005
1603186440.944915;80.656464;206.398254;-441.270752
1603186440.954924;79.896164;206.347672;-441.113892
1603186440.964904;79.781021;206.250320;-441.044525
1603186440.974913;79.709641;206.344635;-441.077148
1603186440.984893;79.975021;206.288269;-440.825134
1603186440.994902;79.975098;206.689713;-440.964355
1603186441.004882;79.225189;206.643631;-440.644531
1603186441.014861;78.806747;206.830963;-440.425049
1603186441.024871;79.459732;206.723480;-440.146118
1603186441.034880;78.357208;207.185226;-440.040405
1603186441.044860;79.044739;206.993439;-440.307068
1603186441.054869;78.240921;207.125626;-439.858032
1603186441.064879;78.589264;206.908142;-439.905945
1603186441.074858;78.126282;206.938171;-440.038879
1603186441.084868;77.907074;206.695633;-440.418030
1603186441.094847;78.888733;206.888474;-440.595215
1603186441.104827;78.188339;206.912109;-440.227966
1603186441.114837;77.863998;206.474411;-440.468445
1603186441.124816;78.115158;206.864059;-440.434753
1603186441.134795;78.140091;206.809921;-440.273682
1603186441.144774;78.183182;207.072357;-440.326050
1603186441.154753;77.631042;207.079315;-439.888611
1603186441.164763;77.663483;207.198608;-440.222656
1603186441.174743;77.322418;207.047836;-439.825836
1603186441.184722;76.961151;206.992844;-440.005951
1603186441.194701;78.002121;207.277618;-440.187805
1603186441.204680;77.068329;206.835587;-439.947937
1603186441.214660;77.820572;206.908081;-439.953918
1603186441.224639;77.410919;207.077118;-440.227264
1603186441.234649;76.873230;206.887115;-439.882080
1603186441.244628;77.847260;206.966232;-440.564819
1603186441.254607;77.216980;207.016968;-440.031006
1603186441.264586;77.035248;207.072388;-440.141998
1603186441.274566;77.045654;206.993652;-440.190796
1603186441.284575;77.381927;206.885635;-440.064087
1603186441.294555;77.874359;207.029297;-440.444061
1603186441.304534;76.789566;207.141144;-440.271240
1603186441.314513;77.186981;207.084457;-440.208252
1603186441.324523;77.681946;206.872559;-440.193970
1603186441.334502;77.490051;206.965942;-440.218994
1603186441.344481;78.251419;206.914185;-440.788269
1603186441.354461;77.451599;206.851654;-440.351624
1603186441.364440;77.167862;206.769073;-440.417847
1603186441.374450;77.073090;206.545486;-440.460632
1603186441.384429;76.938477;206.498886;-440.450439
1603186441.394408;77.787292;206.690948;-440.437439
1603186441.404387;77.508774;206.749329;-440.436523
1603186441.414367;77.891617;206.761490;-440.104950
1603186441.424376;76.891983;206.884125;-440.400116
1603186441.434356;77.279510;206.676498;-440.394257
1603186441.444335;78.170334;206.867661;-440.502319
1603186441.454314;77.897552;206.553146;-440.234131
1603186441.464293;77.790588;206.742142;-440.194336
1603186441.474273;77.761444;206.809799;-440.203247
1603186441.484252;77.823151;206.835205;-440.649902
1603186441.494262;77.874329;206.912628;-440.649963
1603186441.504241;77.307968;206.759308;-440.463013
1603186441.514220;78.346954;206.778244;-440.523254
1603186441.524199;78.168030;206.822662;-440.792877
1603186441.534179;78.040543;206.946594;-440.470459
1603186441.544158;78.525009;206.765610;-440.892578
1603186441.554137;77.730988;206.662811;-440.806976
1603186441.564147;78.569702;206.669724;-440.414856
